"date","Y開","Y終","Y活","Yx","Yn","B5","Y5","Px","Pn","dis","B開","B終","8:30","9:26","flag","9:30","活度","max","min","down","終値","5日差","type"
"2021-02-12","0.6","0.4","1.2","3.0","-0.3","12.9","10.8","","","","0.4","4.7","0.6","0.0","0","1.0","","","","","","",""
"2021-02-12","0.6","0.4","1.2","3.0","-0.3","12.9","10.8","","","","0.4","4.7","0.6","0.0","0","1.6","","","","","","",""
"2021-02-12","0.6","0.4","1.2","3.0","-0.3","12.9","10.8","","","","0.4","4.7","0.6","0.0","0","0.8","","","","","","",""
"2021-02-12","0.6","0.4","1.2","3.0","-0.3","12.9","10.8","","","","0.4","4.7","0.6","0.0","0","0.4","","","","","","",""
"2021-02-12","0.6","0.4","1.2","3.0","-0.3","12.9","10.8","","","","0.4","4.7","0.6","0.0","0","-0.4","","","","","","",""
"2021-02-12","0.6","0.4","1.2","3.0","-0.3","12.9","10.8","","","","0.4","4.7","0.6","0.0","0","-0.8","","","","","","",""
"2021-02-12","0.6","0.4","1.2","3.0","-0.3","12.9","10.8","","","","0.4","4.7","0.6","0.0","0","-1.6","","","","","","",""
