"date","type","AI1","momentum","QQQ3","Nasdaq100Fut","8:38","9:00","sq9:00","9:26","9:30","9:35","9:45","10:00","10:45","11:30","13:30","16:00","成行","target","基準","基準momemtum","Memo","Max,Min","PER100値"
"2021-03-30","1","","","0.3","-0.65","-1.1","","","-0.8","-1.1","-1.1","-1.6","-1.6","0.5","1.3","1.3","1.6","","なし","安い","","⇨なし(昨日安い状態からニュースで下がったので上げのみ)","0.5,-0.4","225.26"
"2021-03-31","2","","","2.1","0.65","0.7","","","0.9","0.8","0.8","2.4","3.1","3.3","3.0","3.9","2.6","","3.9","安い","","⇨2.6","0.1,-1.5","225.26"
"2021-04-01","3","","","3.1","1.10","1.8","","","1.4","1.7","1.7","2.9","3.1","3.7","3.1","1.5","1.5","","4.5","中立","","⇨1.5(9:50に4.9%)","1.8,-0.1","225.26"
"2021-04-05","4","","","0","0.50","0.7","","","0.8","0.5","0.5","0.2","0.4","-1.7","-3.1","-1.9","-0.7","","-3.1","中立","","⇨-0.7","0.7,-4.0","225.26"
"2021-04-06","1","","","5.6","0.00","-0.1","0.2","","-0.4","-0.1","-0.1","0.1","0.3","1.5","1.6","1.5","1.8","","-0.7","中立","","⇨2.6","2.7,-0.7","225.26"
"2021-04-07","6","","","-2.0","-0.20","-0.2","-0.5","","-0.8","-0.9","-2.0","0.0","1.0","-1.3","-1.9","-2.7","-2.0","","-3.0","高い","1","⇨-0.6(9:55底、10:15天)","1.1,-3.2","225.26"
"2021-04-08","3","","","2.6","0.80","0.8","1.4","","0.7","1.1","1.1","2.2","2.6","2.0","2.4","2.6","2.5","↗︎0.2↗︎0.2","3.2","中立","-1","⇨2.0 (10:00に3.2%)","3.4,0.9","225.26"
"2021-04-09","5","","","-0.6","-0.5","-0.1","-1.2","","-1.0","-0.7","-1.6","-0.3","0.5","-2.2","-2.9","-3.4","-2.6","↗︎0.6↗︎1.0","-0.1","高い","1","⇨-3.4(8:38に-0.1%)","-0.4,-3.6","225.26"
"2021-04-12","1","","","1.4","-0.2","-0.4","-0.2","","-0.3","-1.2","-2.0","-0.7","-0.4","-1.3","-0.6","-0.4","-0.4","↘︎-0.4↗︎0.2","-2.0","中立","-1@323.52","⇨-0.2(9:55に-2.0%,11:05に-0.2%)","-0.1,-2.3","225.26"
"2021-04-13","2","","","1.9","0.5","1.4","1.2","","1.4","2.0","2.7","1.7","2.6","4.7","4.1","5.8","6.6","↗︎0.6↗︎0.7","4.7","安め","-2@361.12","⇨3.7(11:00に5.4%)","6.9,1.2","225.26"
