date,Y開,Y終,Y活,Yx,Yn,B5,Y5,Px,Pn,Dis,B開,B終,8:38,9:26,flag,9:30,活度,max,min,down,終値,5日差,type
2020-12-22,0.4,0.3,-4.3,1.2,-2.8,7.2,1,1,1,1,1.3,-2.8,0.0,0.2,1,0.4,-2.9,0.6,-1.7,0.0,0.2,0.1,1
2020-12-23,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.2,0,0.0,1,1,1,1,1,1,1
2020-12-23,1,1,1,1,1,1,1,1,1,1,1,1,0.0,-0.2,0,0.0,1,1,1,1,1,1,1
2020-12-23,1,1,1,1,1,1,1,1,1,1,1,1,0.0,-0.2,0,-0.4,1,1,1,1,1,1,1
2020-12-23,1,1,1,1,1,1,1,1,1,1,1,1,0.1,0.1,0,0.4,1,1,1,1,1,1,1
2020-12-25,-0.5,0.2,-2.9,0.6,-1.7,5.0,1,1,1,1,0.1,0.1,0.1,0.1,2,-0.4,5.7,4.0,-1.3,0.9,2.2,2.0,3
