"date","Y開","Y終","Y活","Yx","Yn","B5","B開","B終","8:38","9:26","flag","9:30","活度","max","min","down","終値","5日差","type"
"2021-01-22","0.4","0.3","-4.3","1.2","-2.8","7.2","1.3","-2.8","-1.1","-1.2","0","-0.5","-2.9","0.6","-1.7","0.0","0.2","0.1","1"
"2021-01-25","-0.5","0.2","-2.9","0.6","-1.7","5.0","0.1","0.0","0.9","0.6","0","1.5","5.7","4.0","-1.3","0.9","2.2","2.0","3"
"2021-01-26","1.5","2.2","5.7","4.0","-1.3","0.1","-0.5","0.2","-0.9","0.0","0","-0.2","-3.0","1.0","-5.0","-4.5","-4.5","-4.9","4"
"2021-01-27","-0.2","-4.5","-3.0","1.0","-5.0","2.0","1.5","2.2","-1.7","-2.2","0","-1.7","-0.5","2.6","-2.1","0.5","-1.0","-3.1","1"
"2021-01-28","-1.7","-1.0","-0.5","2.6","-2.1","-4.9","-0.2","-4.5","-0.5","-0.1","0","-1.0","0","3.4","-1.9","-1.1","2.1","-1.0","1"
"2021-01-29","-1.0","2.1","0","3.4","-1.9","-3.1","-1.7","-1.0","0.6","0.2","1","0.1","0.1","1.9","-5.3","-4.2","-1.7","-2.9","4"
