"date","type","Nasdaq100Fut","8:30","sq9:00","zm9:00","16:00","成行","target","基準","基準momemtum","Memo","PER100値"
"2021-11-26","4","-0.9","10.2","-2.2","9.2","5.7","↘︎-2.7↘︎-1.3","5.9","安め","1@220.21","⇨9.5(10:40に5.9%)","385.38"
"2021-11-29","1","1.0","-2.3","1.5","-2.4","-0.7","↗︎2.1↗︎1.2","-5.0","高い","2@218.75","⇨-0.5(10:15に-5.0%)","385.38"
"2021-11-30","4","-0.5","1.7","0.8","1.7","-3.4","↘︎-2.4↘︎-1.1","-5.2","高め","-1@211.64","⇨-2.0(12:10に-5.4%)","385.38"
"2021-12-01","5","1.3","-0.2","0.7","0.0","-6.5","↗︎0.5↘︎-2.0","-7.1","安め","-2@197.71","⇨-6.1(15:05に-7.1%)","385.38"
"2021-12-02","3","-0.4","-2.1","-0.3","-1.8","-3.0","↗︎1.2↗︎1.4","-4.6","安い","-3@191.75","⇨-2.3(13:50に-4.6%)","385.38"
"2021-12-03","1","0.3","-2.0","0.4","-2.6","-4.1","↘︎-6.3↘︎-2.2","-7.4","安い","-4@183.92","⇨-3.1(12:05に-7.4%)","385.38"
"2021-12-06","6","-0.1","-1.6","-1.7","-1.9","1.0","↗︎1.0↗︎0.9","-3.8","安い","-5@185.84","⇨1.2(9:40に-3.8%)","385.38"
"2021-12-07","6","1.8","1.5","4.5","1.2","1.7","↗︎2.5↗︎1.4","0.4","安い","-6@189.06","⇨2.5(11:25に0.4%)","385.38"
"2021-12-08","6","0.2","-1.4","0.3","-1.2","3.1","↘︎-1.1→0.0","-2.0","安い","-7@194.86","⇨3.5(9:40に-2.0%)","385.38"
"2021-12-09","4","-0.4","-0.2","-0.7","0.3","-3.4","↗︎0.6↘︎-1.1","-4.6","中立","1@188.27","⇨-3.2(15:20に-4.6%)","385.38"
"2021-12-10","3","0.7","0.7","1.4","0.3","-1.6","↘︎-2.0↗︎0.2","-2.2","安い","-1@185.25","⇨-1.8(15:05に-2.2%)","385.38"
"2021-12-13","3","0.3","0.0","-0.8","0.2","-0.4","↘︎-3.9↘︎-1.4","-2.2","安い","-2@184.57","⇨0.3(12:05に-2.2%)","385.38"
"2021-12-14","1","-1.1","-1.6","-2.9","-1.5","-1.4","↘︎-1.7→0.0","-2.9","安い","-3@181.94","⇨-0.8(9:55に-2.9%)","385.38"
"2021-12-15","1","0.0","0.0","-0.6","-0.3","1.0","↘︎-2.3↗︎1.8","-3.8","安い","-4@183.73","⇨1.6(12:25に-3.8%)","385.38"
"2021-12-16","1","0.5","0.9","1.3","1.1","-0.7","↘︎-1.9↘︎-3.0","-3.6","安い","-5@182.4","⇨-0.5(14:50に-3.6%)","385.38"
"2021-12-17","6","-0.9","-0.2","-3.3","0.5","9.5","↗︎3.2↗︎0.1","0.6","安い","-6@199.74","⇨9.8(9:45に0.6%)","385.38"
"2021-12-20","6","-1.4","5.0","-2.6","4.1","-0.9","↘︎-1.2↗︎0.2","-0.7","高い","1@197.97","⇨2.4(9:50に-0.7%)","385.38"
"2021-12-21","4","1.0","-0.4","1.7","0.5","0.7","↘︎-1.0↗︎1.0","-2.9","高め","-1@199.42","⇨1.0(10:35に-2.9%)","385.38"
"2021-12-22","3","-0.2","-1.0","-1.1","-1.0","-3.2","↗︎3.2↗︎1.1","-4.4","高め","0@193.13","⇨-2.9(14:10に-4.0%)","385.38"
"2021-12-23","1","0.2","-1.9","-0.1","-0.1","-0.8","↗︎1.9↗︎1.0","-3.1","安め","-1@191.65","⇨0.0(10:05に-3.1%)","385.38"
"2021-12-27","5","0.5","0.4","-0.1","0.4","-2.2","↗︎2.2↗︎1.0","-3.1","安め","0@187.44","⇨-2.1(15:00に-3.1%)","385.38"
"2021-12-28","3","0.3","-0.7","-0.1","-0.6","-2.0","↘︎-2.2↘︎-0.5","-2.2","安い","-1@183.77","⇨-1.5(14:00に-2.2%)","385.38"
"2021-12-29","4","0.1","0.0","-0.5","0.0","-1.1","↘︎-1.5→0.0","-2.0","安い","-2@181.81","⇨-0.1(10:05に-2.0%)","385.38"
"2021-12-30","6","0.7","0.0","-0.4","0.2","4.8","↗︎0.5↘︎-0.9","0.3","安い","-3@190.52","⇨6.0(9:30に0.3%)","385.38"
"2021-12-31","4","0.0","-0.3","-0.1","-0.7","-3.5","↗︎0.5↘︎-0.4","-3.5","安め","1@183.91","⇨-3.5%(15:55に-3.5%)","385.38"
"2022-01-03","4","0.3","0.3","0.7","0.1","0.2","→0.0↗︎0.6","-3.1","安い","-1@184.26","⇨0.5(10:20に-3.1%)","385.38"
"2022-01-04","5","0.2","-0.6","-0.2","-0.7","-2.4","↘︎-6.4↘︎-1.4","-6.5","安い","-2@179.85","⇨-2.2(11:05に-6.5%)","385.38"
"2022-01-05","2","0.1","-1.0","-1.0","0.1","-2.8","↘︎-2.4↘︎-2.8","-2.6","安い","-3@174.88","⇨2.0(9:30に-2.6%)","385.38"
"2022-01-06","6","-0.4","-1.1","-2.1","-0.6","0.8","↗︎0.2↗︎0.5","-1.5","安い","-4@176.33","⇨3.9(10:10に-1.5%)","385.38"
"2022-01-07","3","-0.4","-0.8","-1.5","-0.6","-2.7","↘︎-1.1↘︎-0.5","-3.1","安い","-5@171.60","⇨-1.8(14:20に-3.1%)","385.38"
"2022-01-10","1","-1.1","-1.2","-2.1","-1.6","0.6","↘︎-2.0↗︎0.7","-3.7","安い","-6@172.56","⇨0.6(11:00に-3.7%)","385.38"
"2022-01-11","6","0.4","1.7","-0.4","0.1","2.0","↗︎1.7↗︎0.9","-0.5","安い","-7@175.97","⇨3.6(9:35に-0.5%)","385.38"
"2022-01-12","4","0.7","1.4","2.8","1.4","-3.0","↘︎-1.6↘︎-0.3","-3.4","中立","1@170.65","⇨-3.0(15:40に-3.4%)","385.38"
"2022-01-13","5","0.1","-0.4","1.3","-0.1","-5.0","↘︎-2.5↘︎-2.3","-5.0","安い","-1@162.1","⇨-5.0(16:00に-5.0)","385.38"
"2022-01-14","3","-1.0","-1.3","-1.8","-1.9","-1.5","↗︎3.7↗︎1.7","-1.9","安い","-2@159.72","⇨1.3(9:00に-1.9%)","385.38"
"2022-01-18","2","-1.5","-2.2","-2.1","-1.8","-1.3","↘︎-1.1↘︎-1.1","-2.0","安い","-3@157.7","⇨1.9(9:35に-2.0%)","385.38"
"2022-01-19","2","0.5","1.4","-0.1","0.8","-0.3","↘︎-3.0↘︎-0.9","-0.3","安い","-4@157.23","⇨2.9(11:25に-0.3%)","385.38"
"2022-01-20","2","1.1","0.8","1.1","1.4","-0.9","↗︎2.1↘︎-1.5","1.4","安い","-5@155.81","⇨3.8(9:00に1.4%)","385.38"
"2022-01-21","1","-0.7","-1.8","-1.8","-1.7","-5.2","↗︎2.0↘︎-2.2","-5.0","安い","-6@147.66","⇨0.1(10:20に-5.0%)","385.38"
"2022-01-24","1","-1.5","-2.5","-5.6","-3.2","3.6","↘︎-5.0↗︎0.4","-5.6","安い","-7@152.95","⇨3.5(11:50に-5.6%)","385.38"
"2022-01-25","1","0.5","-2.9","-3.5","-2.6","-4.6","↘︎-0.3↘︎-0.3","-7.0","高め","1@145.89","⇨-2.2(11:40に-7.0%)","385.38"
"2022-01-26","3","2.2","2.8","4.1","3.0","-3.8","↘︎-0.6↘︎-2.5","-3.9","安い","-1@140.33","⇨-2.3(15:10に-3.9%)","385.38"
"2022-01-27","4","0.8","1.8","-3.5","1.7","-2.5","↗︎1.0↘︎-2.2","-2.0","安い","-2@136.81","⇨0.0(13:30に-2.0%)","385.38"
"2022-01-28","6","-0.8","-1.2","-1.9","0.2","5.1","↗︎6.3↗︎3.9","-1.3","安い","-3@143.81","⇨4.9(10:15に-1.3%)","385.38"
"2022-01-31","6","0.4","1.1","1.0","0.8","7.3","↗︎4.5↗︎1.9","0.8","高い","1@154.28","⇨7.0(9:00に0.8%)","385.38"
"2022-02-01","1","0.2","1.1","3.4","0.9","0.9","↘︎-1.1↗︎0.2","-2.2","高い","2@155.68","⇨0.5(10:05に-2.2%)","385.38"
"2022-02-02","4","2.2","0.5","-6.6","0.6","-4.9","↘︎-3.4↘︎-1.4","-5.8","高い","3@148.11","⇨-3.5(11:50に-5.8%)","385.38"
"2022-02-03","4","-2.6","-2.6","-7.7","-3.5","-7.0","↘︎-0.1↘︎-1.3","-6.6","安め","-1@137.80","⇨-6.6%(15:55に-6.6%)","385.38"
"2022-02-04","6","-0.1","1.1","-0.7","-0.6","4.5","↗︎3.1↗︎1.2","-0.5","安い","-2@144.10","⇨5.1(9:40に-0.5%)","385.38"
"2022-02-07","3","0.3","0.1","0.7","0.6","-1.9","↘︎-1.6↘︎-1.1","-2.8","高め","1@141.44","-0.1(11:45に-2.8%)","385.38"
"2022-02-08","6","-0.3","0.0","-1.0","-0.6","0.9","↗︎2.7↗︎1.6","-2.7","中立","-1@142.69","⇨0.9(10:05に-2.7%)","385.38"
"2022-02-09","6","1.3","2.3","3.4","2.3","4.8","↗︎0.6↗︎0.7","1.2","高め","1@149.60","⇨4.8(10:00に1.2%)","385.38"
"2022-02-10","2","-2.0","0.6","-2.7","-2.7","-2.6","↗︎1.0↘︎-0.3","-2.6","高い","2@145.72","⇨1.9(9:30に-2.6%)","385.38"
"2022-02-11","3","1.2","0.5","2.4","0.7","-3.1","↘︎-3.7↘︎-4.6","0.3","高い","3@141.24","⇨2.6(9:30に0.3%)","385.38"
"2022-02-14","2","-0.2","-0.5","-0.6","-0.5","0.6","↗︎3.1↗︎0.2","0.7","中立","-1@142.09","⇨4.5(9:35に0.7%)","385.38"
"2022-02-15","1","1.7","2.7","3.2","2.6","3.4","↗︎0.4↗︎0.2","-0.5","中立","0@146.90","⇨3.2(10:20に-0.5%)","385.38"
"2022-02-16","5","-0.5","-0.7","-2.3","-2.0","-5.7","↘︎-1.6↗︎0.4","-6.8","高い","1@138.51","⇨-5.1(14:00に-6.8%)","385.38"
"2022-02-17","5","-0.7","-0.7","-1.7","-1.2","-6.6","↘︎-2.0↘︎-2.0","-6.7","安め","-1@129.38","⇨-6.6(15:30に-6.7%)","385.38"
"2022-02-18","4","0.1","0.1","-0.4","0.4","-1.9","↘︎-3.2↘︎-1.2","-3.5","安い","-2@126.96","⇨-0.7(12:05に-3.5%)","385.38"
"2022-02-22","2","-0.4","-1.5","-2.8","-1.2","-0.3","↘︎-0.9→0.0","-1.6","安い","-3@126.61","⇨2.4(9:30に-1.6%)","385.38"
"2022-02-23","5","1.0","1.1","2.3","1.1","-5.1","↘︎-6.2↘︎-3.3","-4.3","安い","-4@120.1","⇨-3.0(11:30に-4.3%)","385.38"
"2022-02-24","6","-2.8","-5.0","-6.5","-4.6","5.7","↗︎8.3↗︎5.6","-4.7","安い","-5@126.97","⇨7.0(9:30に-4.7%)","385.38"
"2022-02-25","4","0.2","1.2","20.2","1.6","-1.3","↗︎2.2↗︎1.1","-5.4","高い","1@125.32","⇨-2.0(10:05に-5.4%)","385.38"
"2022-02-28","6","-1.4","-1.1","-1.8","-0.6","5.8","↗︎6.0↗︎0.8","0.0","高め","-1@132.6","⇨7.4(10:05に0.0%)","385.38"
"2022-03-01","3","-0.4","-2.7","0.1","-2.3","-7.4","↘︎-1.8↘︎-1.4","-3.1","高い","1@122.78","⇨2.1(9:30に-3.1%)","446.85"
"2022-03-02","1","0.1","-0.3","0.4","-0.4","-1.0","↗︎3.3↗︎1.8","-6.1","安い","-1@121.61","⇨-0.2(10:21に-6.1%)","446.85"
"2022-03-03","4","1.0","0.6","0.1","0.7","-7.0","↘︎-5.0↘︎-2.8","-7.6","安い","-2@113.11","⇨-7.0(15:50に-7.6%)","446.85"
"2022-03-04","3","-0.8","-1.3","-1.1","-0.1","-3.7","↘︎-3.2↘︎-1.0","-0.1","安い","-3@108.94","⇨2.5(9:00に-0.1%)","446.85"
"2022-03-07","3","-0.5","-0.1","-1.9","-0.2","-1.0","↘︎-4.0↘︎-2.8","-0.2","安い","-4@107.88","⇨4.6(9:00に-0.2%)","446.85"
"2022-03-08","6","-0.2","-1.2","0.5","-1.1","0.6","↘︎-2.7→0.0","-2.5","安い","-5@108.49","⇨5.8(9:35に-2.5%)","446.85"
"2022-03-09","4","2.4","3.0","5.9","3.3","0.6","↗︎0.8↗︎1.1","-0.3","安い","1@109.08","⇨0.7(14:20に-0.3%)","446.85"
"2022-03-10","5","-1.5","-1.8","-1.8","-1.1","-5.3","↘︎-2.5↗︎0.3","-7.2","安い","2@103.33","⇨-4.8(11:25に-7.2%)","446.85"
"2022-03-11","5","1.2","0.7","2.0","0.7","-5.0","↘︎-6.0↘︎-3.2","-5.0","安い","-1@98.12","⇨-5.0(15:55に-5.0%)","446.85"
"2022-03-14","3","0.0","-0.7","-0.6","-0.6","-3.6","↘︎-3.0↘︎-1.7","-0.8","安い","-2@94.64","⇨3.0(9:35に-0.8%)","446.85"
"2022-03-15","2","0.5","2.3","1.2","2.2","4.6","↗︎6.0↗︎4.5","1.7","安い","-3@98.97","⇨5.8(9:40に1.7%)","446.85"
"2022-03-16","2","1.8","3.1","3.3","2.7","8.0","↗︎1.9↗︎1.1","1.5","安め","1@106.84","⇨7.5(9:30に1.5%)","446.85"
"2022-03-17","6","-0.5","-0.6","-0.5","-1.3","4.2","↗︎1.4↗︎1.6","-1.3","高い","2@111.29","⇨3.9(9:50に-1.3%)","446.85"
"2022-03-18","6","-0.6","-0.9","-1.5","-0.9","4.5","↗︎5.9↗︎0.4","-1.7","高い","3@116.28","⇨5.7(9:30に-1.7%)","446.85"
"2022-03-21","6","-0.3","-0.2","-1.5","-1.0","0.5","↘︎-0.9↘︎-0.4","-2.4","高い","4@116.87","⇨2.9(10:30に-2.4%)","446.85"
"2022-03-22","6","0.0","-0.7","-1.9","-0.7","2.5","↗︎4.7↗︎2.0","-0.9","高い","5@119.8","⇨4.3(9:30に-0.9%)","446.85"
"2022-03-23","1","-0.8","-1.7","-1.4","-1.5","-2.5","↗︎1.8↘︎-0.1","-3.1","高い","6@116.81","⇨0.1(10:05に-3.1%)","446.85"
"2022-03-24","1","0.6","0.7","1.1","0.4","0.8","↗︎1.4↗︎1.3","-2.2","高め","-1@117.75","⇨0.6(10:30に-2.2)","446.85"
"2022-03-25","5","0.4","0.6","0.6","0.4","-3.2","↘︎-3.3↘︎-1.0","-4.4","高い","1@113.93","⇨-2.5(11:25に-4.4%)","446.85"
"2022-03-28","3","0.0","0.8","0.9","0.1","3.1","↗︎0.2↗︎1.3","0.8","中立","-1@117.45","⇨3.7(9:30に0.8%)","446.85"
"2022-03-29","6","1.0","0.8","2.2","1.8","7.5","↘︎-0.2↗︎0.8","2.2","高い","1@126.26","⇨7.6(9:30に2.2%)","446.85"
"2022-03-30","2","-0.6","-1.0","0.6","-0.8","-3.1","↘︎-0.4↘︎-0.7","-2.2","高い","2@122.39","⇨0.6(9:40に-2.2%)","446.85"
"2022-03-31","4","0.2","-1.0","-0.3","-1.0","-4.2","↘︎-1.5↘︎-0.9","-4.1","安め","-1@117.23","⇨-4.1(15:55に-4.1%)","446.85"
"2022-04-01","2","0.3","0.9","0.9","0.7","0.7","↘︎-2.7↘︎-0.4","0.3","安い","-2@118.02","⇨2.4(9:30に0.3%)","446.85"
"2022-04-04","6","0.3","1.1","1.5","1.1","5.3","↗︎3.6↗︎1.5","0.9","安い","-3@124.28","⇨5.9(9:30に1.2%)","446.85"
"2022-04-05","4","-0.3","-0.2","-0.1","-0.2","-1.8","↘︎-3.7↘︎-2.1","-2.7","高い","1@122.02","⇨-0.7(10:45に-2.7%)","446.85"
"2022-04-06","5","-1.3","-1.6","-2.9","-2.6","-4.9","↘︎-2.5↘︎-0.7","-6.8","中立","-1@116.09","⇨-3.3(10:30に-6.8%)","446.85"
"2022-04-07","4","0.0","0.3","-0.1","0.5","-1.5","↘︎-2.1↗︎0.7","-4.1","安い","-2@114.32","⇨-0.2(12:50に-4.1%)","446.85"
"2022-04-08","5","-0.1","0.2","0.5","0.1","-3.0","↘︎-2.1↘︎-1.0","-4.1","安い","-3@110.90","⇨-1.2(9:40に-4.1%)","446.85"
"2022-04-11","1","-1.1","-2.0","-3.1","-1.7","-1.7","↘︎-1.3↘︎-1.1","-3.9","安い","-4@109.05","⇨0.0(9:40に-3.9%)","446.85"
"2022-04-12","3","1.8","0.5","2.4","2.0","-2.3","↘︎-1.0↘︎-2.6","2.0","安い","-5@106.58","⇨4.7(9:00に2.0%)","446.85"
"2022-04-13","6","0.5","0.8","-0.1","0.1","7.8","↗︎3.9↗︎1.8","-0.4","安い","-6@114.89","⇨8.6(9:35に-0.4%)","446.85"
"2022-04-14","4","-0.2","-0.5","0.2","-0.3","-4.0","↘︎-2.3↘︎-1.9","-3.2","高め","1@110.31","⇨-1.4(10:50に-3.1%)","446.85"
"2022-04-18","5","-0.3","-0.4","-1.1","-0.7","-4.1","→0.0↗︎0.3","-5.9","安い","-1@105.74","⇨-3.4(10:30に-5.9%)","446.85"
"2022-04-19","6","0.1","1.3","0.0","1.3","5.1","↗︎4.8↗︎2.1","-1.2","安い","-2@111.18","⇨6.2(9:40に-1.2%)","446.85"
"2022-04-20","5","0.3","0.7","0.7","0.1","-6.7","↘︎-5.2↘︎-1.7","-6.1","高い","1@103.7","⇨-3.3(10:10に-6.1%)","446.85"
"2022-04-21","4","1.2","1.4","1.8","1.3","-2.7","↘︎-2.1↘︎-3.3","-2.9","安い","-1@100.95","⇨-1.9(15:10に-2.9%)","446.85"
"2022-04-22","3","-0.1","1.5","0.1","0.5","-0.8","↘︎-2.6↘︎-2.0","0.2","安い","-2@100.17","⇨4.0(9:30に0.2%)","446.85"
"2022-04-25","6","-0.5","-2.1","-1.3","-1.7","2.3","↗︎1.0↗︎1.6","-0.4","安い","-3@102.44","⇨2.8(9:35に-04%)","446.85"
"2022-04-26","1","-0.5","-0.3","-0.6","-0.3","-4.0","↘︎-7.4↘︎-3.1","-6.0","安い","-4@98.36","⇨-1.5(10:05に-6.0%)","446.85"
"2022-04-27","3","0.1","1.7","0.3","1.7","-0.8","↗︎2.8→0.0","-0.9","安い","-5@97.62","⇨3.3(9:30に-0.9%)","446.85"
"2022-04-28","6","1.5","0.4","2.6","1.1","5.1","↘︎-1.7↗︎1.7","-1.7","安い","-6@102.56","⇨6.3(10:35に-1.7%)","446.85"
"2022-04-29","3","1.3","-1.5","-2.1","-1.2","-2.9","↗︎2.6↘︎-5.2","-1.2","高い","1@99.57","⇨4.7(9:30に-1.2%)","446.85"
"2022-05-02","2","-0.3","-0.6","-0.4","-0.7","5.2","↗︎1.3↗︎1.3","-0.4","中立","-1@104.79","⇨5.3(9:30に-0.4%)","446.85"
"2022-05-03","1","0.3","-0.8","0.1","0.2","-1.2","↗︎1.3↘︎-0.6","-1.9","高い","1@103.53","⇨-0.2(10:45にに-1.9%)","446.85"
"2022-05-04","6","0.2","0.7","0.5","0.3","5.3","↘︎-4.5↗︎2.9","-3.7","高め","-1@108.98","⇨5.2(10:20に-3.7%)","446.85"
"2022-05-05","5","-0.9","-1.2","2.0","1.3","-7.5","↘︎-12.0↘︎-4.8","-8.4","高い","1@100.84","⇨-7.7(14:10に-8.4%)","446.85"
"2022-05-06","1","-0.6","-0.8","5.0","-0.6","-4.4","↘︎-1.3↘︎-0.8","-6.7","安い","-1@96.38","⇨0.8(9:55に-6.7%)","446.85"
"2022-05-09","1","-2.3","-2.0","-3.3","-2.0","-4.2","↘︎-2.4↘︎-1.5","-4.8","安い","-2@92.34","⇨0.2(10:40に-4.8%)","446.85"
"2022-05-10","4","1.8","1.0","2.5","1.5","-1.8","↘︎-4.6↗︎0.2","-5.0","安い","-3@90.68","⇨1.4(11:25に-5.0%)","446.85"
"2022-05-11","2","-1.0","2.0","-2.2","-1.9","-6.5","↗︎2.9↘︎-1.6","-2.2","安い","-4@84.80","⇨3.2(9:35に-2.2%)","446.85"
"2022-05-12","2","-1.5","-4.4","-3.2","-3.8","0.2","↗︎4.2↗︎0.5","-6.1","安い","-5@84.97","⇨3.4(9:40に-6.1%)","446.85"
"2022-05-13","6","2.0","4.4","6.0","4.2","11.62","↗︎3.3↗︎1.8","4.3","安め","1@94.84","⇨12.5(9:30に4.3%)","446.85"
"2022-05-16","3","0.2","-0.3","-0.4","0.1","-6.2","↘︎-3.4↘︎-1.4","-1.7","高い","2@88.92","⇨-0.1(9:35に-1.7%)","446.85"
"2022-05-17","4","1.8","2.4","2.8","2.8","2.3","↗︎0.6↗︎0.7","-2.5","安い","-1@90.94","⇨2.4(11:30に-2.5%)","446.85"
"2022-05-18","5","-1.4","-1.8","-2.4","-2.4","-6.9","↘︎-6.1↘︎-3.6","-3.4","中立","1@84.69","⇨-0.8(9:45に-3.4%)","446.85"
"2022-05-19","6","-1.0","-1.1","-2.2","-2.0","7.4","↗︎3.9↗︎0.9","0.8","安い","-1@90.94","⇨10.0(9:50に0.8%)","446.85"
"2022-05-20","3","1.2","1.7","3.3","1.6","-1.3","↘︎-6.4↘︎-2.1","-5.7","高い","1@89.74","⇨-1.3(13:30に-5.7%)","446.85"
"2022-05-23","1","0.6","0.3","1.1","0.9","-0.5","↗︎1.8↗︎0.7","-4.2","高め","-1@89.33","⇨0.1(10:05に-4.2%)","446.85"
"2022-05-25","6","-0.5","-1.3","-1.0","-0.7","8.5","↗︎2.8↗︎2.1","-0.3","中立","-2@102.34","⇨10.2(9:35に-0.3%)","412.19"
"2022-05-26","6","0.2","0.1","0.0","-0.2","4.6","↗︎5.2↗︎2.4","-0.4","高い","1@107.00","⇨5.5(9:35に-0.4%)","412.19"
"2022-05-27","6","1.0","0.6","1.1","1.2","3.2","↗︎4.7↗︎2.1","-1.2","高い","2@110.42","⇨3.7(9:55に-1.2%)","412.19"
"2022-05-31","4","-0.5","0.5","-0.2","0.2","-2.7","↘︎-0.5↗︎0.6","-3.5","高い","3@107.45","⇨-0.4(10:15に-3.5%)","412.19"
"2022-06-01","4","0.4","-0.1","0.4","0.1","0.2","↘︎-3.3↘︎-0.7","-1.9","高い","4@107.65","⇨2.0(12:15に-1.9%)","412.19"
"2022-06-02","6","0.5","0.7","0.6","0.7","4.3","↗︎0.8↗︎1.8","-0.4","高い","5@112.24","⇨5.7(9:30に-0.4%)","412.19"
"2022-06-03","1","-1.5","-1.4","-2.7","-1.1","-2.5","↘︎-4.0↘︎-1.1","-3.9","高い","6@109.42","⇨-0.7(9:35に-3.9%)","412.19"
"2022-06-06","4","1.6","1.5","3.0","2.8","1.5","↘︎-2.4↘︎-1.4","-0.3","高い","7@111.01","⇨2.9(9:50に-0.3%)","412.19"
"2022-06-07","6","-1.2","-1.4","-2.9","-1.4","3.6","↗︎2.7↗︎2.0","-0.8","高い","8@115.04","⇨3.5(9:30に-0.8%)","412.19"
"2022-06-08","1","-0.5","0.0","-0.9","-0.6","0.4","↗︎2.4↘︎-0.1","-1.4","高い","9@115.46","⇨0.3(12:45に-1.4%)","412.19"
"2022-06-09","1","-0.1","0.4","-0.5","-0.4","-4.4","↗︎0.2↘︎-1.9","-3.8","高い","10@110.40","⇨0.5(9:45に-3.8%)","412.19"
"2022-06-10","1","-1.4","-0.9","-2.7","-2.2","-1.2","↘︎-6.3↘︎-1.2","-3.3","高め","-1@109.07","⇨0.1(9:35に-3.3%)","412.19"
"2022-06-13","1","-2.8","-4.2","-6.4","-4.4","-5.3","↘︎-2.4↘︎-1.9","-5.7","中立","-2@103.32","⇨-2.5(9:30にに-5.7%)","412.19"
"2022-06-14","6","0.9","0.6","1.0","0.9","3.4","↘︎-0.4↘︎-1.3","0.2","安い","-3@106.86","⇨6.1(9:30に0.2%)","412.19"
"2022-06-15","6","0.9","1.4","1.2","1.1","5.7","↗︎2.1↗︎2.4","0.1","高め","1@112.93","⇨7.2(9:45に0.1%)","412.19"
"2022-06-16","1","-2.3","-3.8","-3.5","-3.5","-6.1","↘︎-5.9↘︎-1.7","-7.6","高い","2@106.09","⇨-5.1(11:05に-7.6%)","412.19"
"2022-06-17","6","1.0","1.7","0.2","1.1","3.7","↗︎0.4→0.0","0.7","安い","-1@110.00","⇨5.3(10:25に0.7%)","412.19"
"2022-06-21","2","1.6","1.7","3.2","1.8","3.5","↗︎3.9↗︎1.1","1.6","高め","1@113.82","⇨6.3(9:30に1.6%)","412.19"
"2022-06-22","2","-1.7","-2.2","-3.2","-2.7","1.2","↗︎7.4↗︎1.6","-1.6","高い","2@115.17","⇨4.7(9:30に-1.6%)","412.19"
"2022-06-23","1","0.5","1.6","1.1","1.1","2.2","↗︎1.1↗︎1.0","-3.4","高い","3@117.67","⇨2.5(9:40に-3.4%)","412.19"
"2022-06-24","3","0.7","0.8","1.2","1.0","4.2","↗︎3.2↗︎2.7","1.0","高い","4@122.64","⇨4.0(9:30に1.0%)","412.19"
"2022-06-27","4","0.2","0.3","0.4","-0.1","-2.3","↘︎-2.0↘︎-1.0","-3.8","高い","5@119.82","⇨-1.6(12:25に-3.8%)","412.19"
"2022-06-28","5","0.1","0.4","0.1","0.4","-5.6","↘︎-4.7↘︎-3.4","-5.6","高い","6@113.13","⇨-4.7(14:40に-5.6%)","412.19"
"2022-06-29","4","-0.1","0.0","-1.4","0.2","-1.1","↗︎1.2↗︎0.2","-2.3","安め","-1@111.87","⇨0.1(9:45に-2.3%)","412.19"
"2022-06-30","1","-1.1","-3.3","-2.2","-2.9","-3.5","→0.0↗︎0.1","-6.1","安め","0@107.97","⇨-1.8(10:25に-6.1%)","412.19"
"2022-07-01","1","-0.4","-0.4","-0.4","-0.5","2.8","↗︎0.1↗︎1.1","-0.2","安い","-1@110.97","⇨3.3(9:40に-0.2%)","412.19"
"2022-07-05","6","-1.3","-1.8","-1.6","-1.6","8.5","↗︎1.3↗︎2.8","-1.1","安い","-2@120.42","⇨8.7(9:40に-1.1%)","412.19"
"2022-07-06","4","-0.4","-0.4","-0.4","0.2","-2.8","↗︎1.6↗︎1.3","-3.0","高い","1@117.06","⇨-1.6(14:20に-3.0%)","412.19"
"2022-07-07","6","0.4","0.5","0.7","0.4","3.1","↗︎3.2↗︎1.9","-0.5","中立","-1@120.74","⇨3.3(9:30に-0.5%)","412.19"
